County/Year,Watercraft,Other/Human,Perinatal,Cold Stress,Natural,Total,Not Necropsied,Flood Gate/Canal Lock,Unrecovered/Undetermined
Collier1981,4.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,8.0
Duval1981,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0
Glades1981,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Hillsborough1981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Indian River1981,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lake1981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1981,4.0,1.0,3.0,1.0,3.0,19.0,0.0,0.0,7.0
Levy1981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Manatee1981,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0
Martin1981,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0
Miami-Dade1981,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
Monroe1981,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,19.0
Nassau1981,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Palm Beach1981,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
Putnam1981,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
St. Johns1981,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
St. Lucie1981,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0
Volusia1981,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
TOTAL:1981,24.0,4.0,13.0,1.0,8.0,116.0,0.0,2.0,64.0
Brevard1982,2.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,4.0
Broward1982,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
Charlotte1982,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0
Citrus1982,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0
Collier1982,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0
Duval1982,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
Hillsborough1982,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
Indian River1982,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
Lake1982,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1982,3.0,0.0,1.0,0.0,38.0,48.0,0.0,0.0,6.0
Levy1982,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Manatee1982,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Martin1982,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Miami-Dade1982,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0
Monroe1982,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
Palm Beach1982,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Putnam1982,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Sarasota1982,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
St. Johns1982,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
St. Lucie1982,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Volusia1982,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
TOTAL:1982,20.0,1.0,14.0,0.0,41.0,114.0,0.0,3.0,35.0
Brevard1983,1.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,7.0
Broward1983,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Charlotte1983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Citrus1983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Clay1983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Collier1983,4.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,4.0
Duval1983,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0
Glades1983,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Hillsborough1983,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0
Lee1983,1.0,1.0,4.0,0.0,3.0,15.0,0.0,0.0,6.0
Levy1983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Martin1983,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
Miami-Dade1983,0.0,4.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0
Monroe1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Nassau1983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Palm Beach1983,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Pinellas1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Putnam1983,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0
Sarasota1983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
St. Johns1983,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volusia1983,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
TOTAL:1983,15.0,5.0,18.0,0.0,6.0,81.0,0.0,7.0,30.0
Brevard1984,4.0,0.0,2.0,1.0,1.0,11.0,0.0,0.0,3.0
Broward1984,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0
Charlotte1984,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
Citrus1984,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0
Clay1984,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Collier1984,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,7.0
Duval1984,7.0,0.0,0.0,6.0,0.0,16.0,0.0,0.0,3.0
Glades1984,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Hendry1984,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Hillsborough1984,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Indian River1984,2.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0
Lake1984,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
